"","de_nde","term","prog_2dig","enrollment","retention","success","success_rate","retention_rate"
"49","Non-distance Education","Fall 2019","Humanities (Letters)-15",7594,6348,5022,0.661311561759284,0.835923097181986
"50","Non-distance Education","Fall 2019","Information Technology-07",924,728,544,0.588744588744589,0.787878787878788
"51","Non-distance Education","Fall 2019","Interdisciplinary Studies-49",3200,2928,2470,0.771875,0.915
"52","Non-distance Education","Fall 2019","Mathematics-17",5080,3861,2786,0.548425196850394,0.76003937007874
"53","Non-distance Education","Fall 2019","Media and Communications-06",444,396,324,0.72972972972973,0.891891891891892
"54","Non-distance Education","Fall 2019","Physical Sciences-19",2697,2217,1782,0.660734149054505,0.82202447163515
"55","Non-distance Education","Fall 2019","Psychology-20",2046,1809,1455,0.711143695014663,0.8841642228739
"56","Non-distance Education","Fall 2019","Public and Protective Services-21",1860,1612,1404,0.754838709677419,0.866666666666667
"57","Non-distance Education","Fall 2019","Social Sciences-22",4929,4242,3414,0.692635423006695,0.860620815581254
"58","Non-distance Education","Fall 2020","Biological Sciences-04",1002,798,573,0.57185628742515,0.796407185628742
"59","Non-distance Education","Fall 2020","Business and Management-05",836,700,620,0.741626794258373,0.837320574162679
"60","Non-distance Education","Fall 2020","Commercial Services-30",610,587,569,0.932786885245902,0.962295081967213
"61","Non-distance Education","Fall 2020","Education-08",613,501,410,0.66884176182708,0.817292006525285
"62","Non-distance Education","Fall 2020","Engineering and Industrial Technologies-09",529,495,390,0.737240075614367,0.935727788279773
"63","Non-distance Education","Fall 2020","Environmental Sciences and Technologies-03",0,0,0,NA,NA
"64","Non-distance Education","Fall 2020","Family and Consumer Sciences-13",916,808,692,0.755458515283843,0.882096069868996
"65","Non-distance Education","Fall 2020","Fine and Applied Arts-10",986,855,721,0.731237322515213,0.867139959432049
